ROWNUM;LicenseHolderName;INN;OGRN;Address;License;LicenseValidThru;LicensedObjectAddress;PermissionList;GLOBALID;
"1;"ГБУ здравоохранения города Москвы "Центр лекарственного обеспечения и контроля качества Департамента здравоохранения города Москвы"";"7720023269";"1027700400100";"127018"
"2;"ГБУ здравоохранения города Москвы "Центр лекарственного обеспечения и контроля качества Департамента здравоохранения города Москвы"";"7720023269";"1027700400100";"127018"
"3;"ГБУЗ города Москвы "Диагностический клинический центр № 1 Управления здравоохранения Юго-Западного административного округа"";"7728025109";"1037739037082";"117485"
"4;"ГБУЗ города Москвы "Диагностический клинический центр № 1 Управления здравоохранения Юго-Западного административного округа"";"7728025109";"1037739037082";"117485"
"5;"ГБУЗ города Москвы "Диагностический клинический центр № 1 Управления здравоохранения Юго-Западного административного округа"";"7728025109";"1037739037082";"117485"
"6;"ГБУЗ города Москвы "Диагностический клинический центр № 1 Управления здравоохранения Юго-Западного административного округа"";"7728025109";"1037739037082";"117485"
"7;"ГБУЗ города Москвы "Диагностический клинический центр № 1 Управления здравоохранения Юго-Западного административного округа"";"7728025109";"1037739037082";"117485"
"8;"ГБУЗ города Москвы "Диагностический клинический центр № 1 Управления здравоохранения Юго-Западного административного округа"";"7728025109";"1037739037082";"117485"
"9;"ФГКУ "Поликлиника № 7 Федеральной службы безопасности Российской Федерации"";"7715393578";"1037715077575";"127018"
"10;"ГБУ здравоохранения города Москвы "Городская поликлиника № 2 Департамента здравоохранения города Москвы"";"7726316247";"1037739730951";"117556"
"11;"ГБУ здравоохранения города Москвы "Городская поликлиника № 2 Департамента здравоохранения города Москвы"";"7726316247";"1037739730951";"117556"
"12;"ГБУ здравоохранения города Москвы "Городская поликлиника № 2 Департамента здравоохранения города Москвы"";"7726316247";"1037739730951";"117556"
"13;"ГБУ здравоохранения города Москвы "Городская поликлиника № 2 Департамента здравоохранения города Москвы"";"7726316247";"1037739730951";"117556"
